"show_id";"type";"title";"director";"country";"date_added";"release_year";"rating";"duration";"listed_in"
"s79";"Movie";"Tughlaq Durbar";"Delhiprasad Deenadayalan";"Not Given";"9/11/2021";2020;"TV-14";"145 min";"Comedies, Dramas, International Movies"
"s80";"Movie";"Tughlaq Durbar (Telugu)";"Delhiprasad Deenadayalan";"Not Given";"9/11/2021";2021;"TV-14";"145 min";"Comedies, Dramas, International Movies"
"s89";"Movie";"Blood Brothers: Malcolm X & Muhammad Ali";"Marcus Clarke";"Not Given";"9/9/2021";2021;"PG-13";"96 min";"Documentaries, Sports Movies"
"s94";"Movie";"JJ+E";"Alexis Almström";"Not Given";"9/8/2021";2021;"TV-MA";"91 min";"Dramas, International Movies, Romantic Movies"
"s113";"Movie";"Worth";"Sara Colangelo";"United States";"9/3/2021";2021;"PG-13";"119 min";"Dramas"
"s97";"Movie";"If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd";"Stephen Kijak";"United States";"9/7/2021";2018;"TV-MA";"97 min";"Documentaries, Music & Musicals"
"s114";"Movie";"Afterlife of the Party";"Stephen Herek";"United States";"9/2/2021";2021;"TV-PG";"110 min";"Comedies, Romantic Movies"
"s654";"TV Show";"This Is Pop";"Not Given";"Pakistan";"6/22/2021";2021;"TV-MA";"1 Season";"Docuseries, International TV Shows"
"s659";"TV Show";"Nevertheless,";"Not Given";"Pakistan";"6/20/2021";2021;"TV-14";"1 Season";"International TV Shows, Romantic TV Shows, TV Dramas"
"s762";"TV Show";"Human: The World Within";"Not Given";"Pakistan";"6/4/2021";2021;"TV-PG";"1 Season";"Docuseries, Science & Nature TV"
"s102";"Movie";"Untold: Breaking Point";"Chapman Way, Maclain Way";"United States";"9/7/2021";2021;"TV-MA";"80 min";"Documentaries, Sports Movies"
"s664";"TV Show";"Charité at War";"Not Given";"Pakistan";"6/19/2021";2019;"TV-MA";"1 Season";"International TV Shows, TV Dramas"
"s106";"Movie";"Angamaly Diaries";"Lijo Jose Pellissery";"India";"9/5/2021";2017;"TV-14";"128 min";"Action & Adventure, Comedies, Dramas"
"s698";"TV Show";"Elite Short Stories: Carla Samuel";"Not Given";"Pakistan";"6/17/2021";2021;"TV-MA";"1 Season";"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
"s108";"Movie";"A Champion Heart";"David de Vos";"United States";"9/4/2021";2018;"G";"90 min";"Children & Family Movies, Dramas"
"s701";"TV Show";"Record of Ragnarok";"Not Given";"Pakistan";"6/17/2021";2021;"TV-MA";"1 Season";"Anime Series, International TV Shows"
"s707";"TV Show";"Elite Short Stories: Omar Ander Alexis";"Not Given";"Pakistan";"6/16/2021";2021;"TV-MA";"1 Season";"International TV Shows, Spanish-Language TV Shows, TV Dramas"
"s711";"TV Show";"Penguin Town";"Not Given";"Pakistan";"6/16/2021";2021;"TV-PG";"1 Season";"Docuseries, Science & Nature TV"
"s115";"Movie";"Anjaam";"Rahul Rawail";"India";"9/2/2021";1994;"TV-14";"143 min";"Dramas, International Movies, Thrillers"
"s715";"TV Show";"Beyond Evil";"Not Given";"Pakistan";"6/15/2021";2021;"TV-MA";"1 Season";"Crime TV Shows, International TV Shows, TV Thrillers"
"s716";"TV Show";"Elite Short Stories: Nadia Guzmán";"Not Given";"Pakistan";"6/15/2021";2021;"TV-MA";"1 Season";"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
"s718";"Movie";"Headspace: Unwind Your Mind";"Not Given";"Pakistan";"6/15/2021";2021;"TV-G";"273 min";"Documentaries"
"s721";"TV Show";"Rhyme Time Town";"Not Given";"Pakistan";"6/15/2021";2021;"TV-Y";"2 Seasons";"Kids' TV"
"s726";"TV Show";"Elite Short Stories: Guzmán Caye Rebe";"Not Given";"Pakistan";"6/14/2021";2021;"TV-MA";"1 Season";"International TV Shows, Spanish-Language TV Shows, TV Dramas"
"s733";"Movie";"To All the Boys: Always and Forever - The Afterparty";"Not Given";"Pakistan";"6/12/2021";2021;"TV-MA";"36 min";"Movies"
"s739";"Movie";"Trese After Dark";"Not Given";"Pakistan";"6/11/2021";2021;"TV-14";"36 min";"Anime Features, Documentaries"
"s752";"TV Show";"Guru Aur Bhole";"Not Given";"Pakistan";"6/8/2021";2018;"TV-Y7";"2 Seasons";"Kids' TV, TV Comedies"
"s843";"TV Show";"High on the Hog: How African American Cuisine Transformed America";"Not Given";"Pakistan";"5/26/2021";2021;"TV-14";"1 Season";"Docuseries"
"s848";"TV Show";"Mad for Each Other";"Not Given";"Pakistan";"5/24/2021";2021;"TV-MA";"1 Season";"International TV Shows, Romantic TV Shows, TV Comedies"
"s850";"Movie";"Sam Smith: Love Goes - Live at Abbey Road Studios";"Not Given";"Pakistan";"5/22/2021";2020;"TV-G";"61 min";"International Movies, Music & Musicals"
"s937";"TV Show";"Miniforce: Super Dino Power";"Not Given";"Pakistan";"5/1/2021";2020;"TV-Y7";"1 Season";"Kids' TV"
"s928";"TV Show";"Barney and Friends";"Not Given";"Pakistan";"5/1/2021";2010;"TV-Y";"2 Seasons";"Kids' TV"
"s958";"TV Show";"Pet Stars";"Not Given";"Pakistan";"4/30/2021";2021;"TV-PG";"1 Season";"Reality TV"
"s964";"TV Show";"The Unremarkable Juanquini";"Not Given";"Pakistan";"4/30/2021";2021;"TV-MA";"2 Seasons";"International TV Shows, Spanish-Language TV Shows, TV Comedies"
"s966";"TV Show";"Yasuke";"Not Given";"Pakistan";"4/29/2021";2021;"TV-MA";"1 Season";"Anime Series, International TV Shows"
"s968";"TV Show";"Headspace Guide to Sleep";"Not Given";"Pakistan";"4/28/2021";2021;"TV-G";"1 Season";"Docuseries, Science & Nature TV"
"s103";"TV Show";"Countdown: Inspiration4 Mission to Space";"Jason Hehir";"Not Given";"9/6/2021";2021;"TV-14";"1 Season";"Docuseries, Science & Nature TV"
"s104";"Movie";"Shadow Parties";"Yemi Amodu";"Not Given";"9/6/2021";2020;"TV-MA";"117 min";"Dramas, International Movies, Thrillers"
"s111";"TV Show";"Money Heist: From Tokyo to Berlin";"Luis Alfaro, Javier Gómez Santander";"Not Given";"9/3/2021";2021;"TV-MA";"1 Season";"Docuseries, International TV Shows, Spanish-Language TV Shows"
"s116";"Movie";"Bright Star";"Jane Campion";"United Kingdom";"9/2/2021";2009;"PG";"119 min";"Dramas, Romantic Movies"
"s117";"Movie";"Dhanak";"Nagesh Kukunoor";"India";"9/2/2021";2015;"TV-PG";"114 min";"Comedies, Dramas, Independent Movies"
"s118";"Movie";"Final Account";"Luke Holland";"United Kingdom";"9/2/2021";2021;"PG-13";"94 min";"Documentaries"
"s119";"Movie";"Gurgaon";"Shanker Raman";"India";"9/2/2021";2017;"TV-14";"106 min";"Dramas, International Movies, Thrillers"
"s120";"Movie";"Here and There";"JP Habac";"Philippines";"9/2/2021";2020;"TV-MA";"99 min";"Dramas, International Movies, Romantic Movies"
"s129";"Movie";"Agatha Christie's Crooked House";"Gilles Paquet-Brenner";"France";"9/1/2021";2017;"PG-13";"115 min";"Dramas, International Movies, Thrillers"
"s123";"Movie";"In the Cut";"Jane Campion";"United Kingdom";"9/2/2021";2003;"R";"118 min";"Thrillers"
"s1006";"Movie";"Keymon and Nani in Space Adventure";"Not Given";"Pakistan";"4/20/2021";2013;"TV-Y";"76 min";"Children & Family Movies, Comedies"
"s1011";"Movie";"Rudra: The Rise of King Pharaoh";"Not Given";"Pakistan";"4/20/2021";2019;"TV-Y7";"91 min";"Children & Family Movies"
"s1026";"TV Show";"Bakugan: Geogan Rising";"Not Given";"Pakistan";"4/16/2021";2021;"TV-Y7";"1 Season";"Anime Series, Kids' TV"
"s127";"Movie";"Shikara";"Vidhu Vinod Chopra";"India";"9/2/2021";2020;"TV-14";"115 min";"Dramas, International Movies, Romantic Movies"
"s128";"Movie";"A Cinderella Story";"Mark Rosman";"United States";"9/1/2021";2004;"PG";"95 min";"Children & Family Movies, Comedies"
"s130";"Movie";"An Unfinished Life";"Lasse Hallström";"Germany";"9/1/2021";2005;"PG-13";"108 min";"Dramas"
"s132";"Movie";"Blade Runner: The Final Cut";"Ridley Scott";"United States";"9/1/2021";1982;"R";"117 min";"Action & Adventure, Classic Movies, Cult Movies"
"s1029";"Movie";"Dad Stop Embarrassing Me - The Afterparty";"Not Given";"Pakistan";"4/16/2021";2021;"TV-14";"37 min";"Comedies"
"s134";"Movie";"Chappie";"Neill Blomkamp";"South Africa";"9/1/2021";2015;"R";"121 min";"Action & Adventure, Sci-Fi & Fantasy"
"s153";"Movie";"Janoskians: Untold and Untrue";"Brett Weiner";"United States";"9/1/2021";2016;"TV-MA";"88 min";"Comedies"
"s1039";"TV Show";"Dancing Angels";"Not Given";"Pakistan";"4/15/2021";2016;"TV-PG";"1 Season";"International TV Shows, Romantic TV Shows, TV Comedies"
"s1083";"TV Show";"Don't be the First one";"Not Given";"Pakistan";"4/11/2021";2021;"TV-14";"1 Season";"International TV Shows, Reality TV"
"s1095";"TV Show";"The Wedding Coach";"Not Given";"Pakistan";"4/7/2021";2021;"TV-MA";"1 Season";"Reality TV, Romantic TV Shows"
"s1096";"TV Show";"This Is a Robbery: The World's Biggest Art Heist";"Not Given";"Pakistan";"4/7/2021";2021;"TV-MA";"1 Season";"Crime TV Shows, Docuseries, TV Mysteries"
"s1117";"TV Show";"Glimpses of a Future";"Not Given";"Pakistan";"4/1/2021";2020;"TV-PG";"1 Season";"Docuseries, International TV Shows"
"s1181";"TV Show";"Alien TV";"Not Given";"Pakistan";"3/19/2021";2021;"TV-Y7";"2 Seasons";"Kids' TV, TV Comedies"
"s1225";"TV Show";"Last Chance U: Basketball";"Not Given";"Pakistan";"3/10/2021";2021;"TV-MA";"1 Season";"Docuseries"
"s1226";"TV Show";"Marriage or Mortgage";"Not Given";"Pakistan";"3/10/2021";2021;"TV-G";"1 Season";"Reality TV, Romantic TV Shows"
"s1236";"TV Show";"Pokémon Journeys: The Series";"Not Given";"Pakistan";"3/5/2021";2021;"TV-Y7";"4 Seasons";"Anime Series, Kids' TV, TV Action & Adventure"
"s131";"Movie";"Barbie Big City Big Dreams";"Scott Pleydell-Pearce";"Not Given";"9/1/2021";2021;"TV-Y";"63 min";"Children & Family Movies, Music & Musicals"
"s135";"Movie";"Clear and Present Danger";"Phillip Noyce";"United States";"9/1/2021";1994;"PG-13";"142 min";"Action & Adventure, Dramas"
"s136";"Movie";"Cliffhanger";"Renny Harlin";"United States";"9/1/2021";1993;"R";"113 min";"Action & Adventure"
"s137";"Movie";"Cold Mountain";"Anthony Minghella";"United States";"9/1/2021";2003;"R";"154 min";"Dramas, Romantic Movies"
"s138";"Movie";"Crocodile Dundee in Los Angeles";"Simon Wincer";"Australia";"9/1/2021";2001;"PG";"95 min";"Action & Adventure, Comedies"
"s139";"Movie";"Dear John";"Lasse Hallström";"United States";"9/1/2021";2010;"PG-13";"108 min";"Dramas, Romantic Movies"
"s140";"Movie";"Do the Right Thing";"Spike Lee";"United States";"9/1/2021";1989;"R";"120 min";"Classic Movies, Comedies, Dramas"
"s141";"Movie";"El patrón, radiografía de un crimen";"Sebastián Schindel";"Argentina";"9/1/2021";2014;"TV-MA";"100 min";"Dramas, International Movies, Thrillers"
"s142";"Movie";"Extraction";"Steven C. Miller";"United States";"9/1/2021";2015;"R";"82 min";"Action & Adventure"
"s143";"Movie";"Freedom Writers";"Richard LaGravenese";"Germany";"9/1/2021";2007;"PG-13";"124 min";"Dramas"
"s144";"Movie";"Green Lantern";"Martin Campbell";"United States";"9/1/2021";2011;"PG-13";"114 min";"Action & Adventure, Sci-Fi & Fantasy"
"s145";"Movie";"House Party";"Reginald Hudlin";"United States";"9/1/2021";1990;"R";"104 min";"Comedies, Cult Movies"
"s146";"Movie";"House Party 2";"George Jackson, Doug McHenry";"United States";"9/1/2021";1991;"R";"94 min";"Comedies, Cult Movies, Music & Musicals"
"s147";"Movie";"House Party 3";"Eric Meza";"United States";"9/1/2021";1994;"R";"94 min";"Comedies, Music & Musicals"
"s1263";"Movie";"Ginny & Georgia - The Afterparty";"Not Given";"Pakistan";"2/26/2021";2021;"TV-MA";"35 min";"Comedies, Dramas"
"s150";"Movie";"I Got the Hook Up";"Michael Martin";"United States";"9/1/2021";1998;"R";"93 min";"Action & Adventure, Comedies"
"s151";"Movie";"In Too Deep";"Michael Rymer";"United States";"9/1/2021";1999;"R";"97 min";"Thrillers"
"s152";"Movie";"Initial D";"Andrew Lau Wai-keung, Alan Mak";"China";"9/1/2021";2005;"TV-14";"109 min";"Action & Adventure, International Movies"
"s1272";"TV Show";"The Last Bastion";"Not Given";"Pakistan";"2/25/2021";2018;"TV-MA";"1 Season";"International TV Shows, Spanish-Language TV Shows, TV Dramas"
"s1300";"TV Show";"Thus Spoke Kishibe Rohan";"Not Given";"Pakistan";"2/18/2021";2021;"TV-MA";"1 Season";"Anime Series, International TV Shows"
"s1443";"TV Show";"Korean Pork Belly Rhapsody";"Not Given";"Pakistan";"1/4/2021";2020;"TV-G";"1 Season";"Docuseries, International TV Shows"
"s156";"Movie";"Labyrinth";"Jim Henson";"United Kingdom";"9/1/2021";1986;"PG";"101 min";"Action & Adventure, Children & Family Movies, Cult Movies"
"s157";"Movie";"Letters to Juliet";"Gary Winick";"United States";"9/1/2021";2010;"PG";"105 min";"Comedies, Dramas, Romantic Movies"
"s158";"Movie";"Level 16";"Danishka Esterhazy";"Canada";"9/1/2021";2018;"TV-14";"102 min";"Sci-Fi & Fantasy, Thrillers"
"s159";"Movie";"Love Don't Cost a Thing";"Troy Byer";"United States";"9/1/2021";2003;"PG-13";"101 min";"Comedies, Romantic Movies"
"s160";"Movie";"Love in a Puff";"Pang Ho-cheung";"Hong Kong";"9/1/2021";2010;"TV-MA";"103 min";"Comedies, Dramas, International Movies"
"s1463";"TV Show";"Running Man";"Not Given";"Pakistan";"1/1/2021";2020;"TV-Y7";"1 Season";"Kids' TV, TV Comedies"
"s162";"Movie";"Mars Attacks!";"Tim Burton";"United States";"9/1/2021";1996;"PG-13";"106 min";"Comedies, Cult Movies, Sci-Fi & Fantasy"
"s163";"Movie";"Marshall";"Reginald Hudlin";"United States";"9/1/2021";2017;"PG-13";"118 min";"Dramas"
"s164";"Movie";"My Boss's Daughter";"David Zucker";"United States";"9/1/2021";2003;"R";"86 min";"Comedies, Romantic Movies"
"s165";"Movie";"Mystery Men";"Kinka Usher";"United States";"9/1/2021";1999;"PG-13";"121 min";"Action & Adventure, Comedies"
"s1472";"Movie";"Best of Stand-Up 2020";"Not Given";"Pakistan";"12/31/2020";2020;"TV-MA";"77 min";"Stand-Up Comedy"
"s167";"Movie";"Once Upon a Time in America";"Sergio Leone";"Italy";"9/1/2021";1984;"R";"229 min";"Classic Movies, Dramas"
"s168";"Movie";"Open Season 2";"Matthew O'Callaghan, Todd Wilderman";"United States";"9/1/2021";2008;"PG";"76 min";"Children & Family Movies, Comedies"
"s169";"Movie";"Osmosis Jones";"Bobby Farrelly, Peter Farrelly";"United States";"9/1/2021";2001;"PG";"95 min";"Action & Adventure, Children & Family Movies, Comedies"
"s170";"Movie";"Poseidon";"Wolfgang Petersen";"United States";"9/1/2021";2006;"PG-13";"98 min";"Action & Adventure, Dramas"
"s1483";"TV Show";"Transformers: War for Cybertron: Earthrise";"Not Given";"Pakistan";"12/30/2020";2020;"TV-Y7";"1 Season";"Anime Series"
"s1586";"TV Show";"Manhunt: Deadly Games";"Not Given";"Pakistan";"12/7/2020";2020;"TV-14";"1 Season";"Crime TV Shows, TV Dramas, TV Mysteries"
"s1597";"TV Show";"The Great British Baking Show: Holidays";"Not Given";"Pakistan";"12/4/2020";2020;"TV-MA";"3 Seasons";"British TV Shows, Reality TV"
"s1669";"TV Show";"Heart & Soul";"Not Given";"Pakistan";"11/20/2020";2019;"TV-14";"1 Season";"International TV Shows, TV Dramas"
"s1746";"Movie";"Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón";"Not Given";"Pakistan";"11/3/2020";2020;"TV-PG";"15 min";"Documentaries"
"s1779";"TV Show";"Kongsuni and Friends";"Not Given";"Pakistan";"10/30/2020";2020;"TV-Y";"2 Seasons";"Kids' TV, Korean TV Shows"
"s1890";"TV Show";"Pat a Pat Como";"Not Given";"Pakistan";"10/3/2020";2016;"TV-Y";"1 Season";"Kids' TV"
"s1891";"TV Show";"Qurious Como";"Not Given";"Pakistan";"10/3/2020";2017;"TV-Y";"1 Season";"Kids' TV"
"s2983";"TV Show";"Find Yourself";"Not Given";"Pakistan";"1/29/2020";2020;"TV-14";"1 Season";"International TV Shows, Romantic TV Shows, TV Comedies"
"s1915";"TV Show";"Journey of an African Colony";"Not Given";"Pakistan";"10/1/2020";2018;"TV-MA";"1 Season";"Docuseries, International TV Shows"
"s1953";"TV Show";"Mighty Little Bheem";"Not Given";"Pakistan";"9/25/2020";2020;"TV-Y";"3 Seasons";"Kids' TV, TV Comedies"
"s171";"Movie";"Rhyme & Reason";"Peter Spirer";"United States";"9/1/2021";1997;"R";"89 min";"Documentaries, Music & Musicals"
"s172";"Movie";"Same Kind of Different as Me";"Michael Carney";"United States";"9/1/2021";2017;"PG-13";"120 min";"Dramas, Faith & Spirituality"
"s173";"Movie";"School of Rock";"Richard Linklater";"United States";"9/1/2021";2003;"PG-13";"110 min";"Comedies, Music & Musicals"
"s174";"Movie";"Snervous Tyler Oakley";"Amy Rice";"United States";"9/1/2021";2015;"PG-13";"83 min";"Documentaries, LGBTQ Movies"
"s175";"Movie";"Tears of the Sun";"Antoine Fuqua";"United States";"9/1/2021";2003;"R";"121 min";"Action & Adventure, Dramas"
"s176";"Movie";"The Blue Lagoon";"Randal Kleiser";"United States";"9/1/2021";1980;"R";"105 min";"Dramas, Romantic Movies"
"s177";"Movie";"The Golden Child";"Michael Ritchie";"United States";"9/1/2021";1986;"PG-13";"94 min";"Action & Adventure, Comedies"
"s178";"Movie";"The Guns of Navarone";"J. Lee Thompson";"United Kingdom";"9/1/2021";1961;"TV-14";"156 min";"Action & Adventure, Classic Movies"
"s179";"Movie";"The Interview";"Evan Goldberg, Seth Rogen";"United States";"9/1/2021";2014;"R";"112 min";"Action & Adventure, Comedies"
"s180";"Movie";"The Nutty Professor";"Tom Shadyac";"United States";"9/1/2021";1996;"PG-13";"95 min";"Comedies, Romantic Movies"
"s181";"Movie";"The Nutty Professor II: The Klumps";"Peter Segal";"United States";"9/1/2021";2000;"PG-13";"107 min";"Comedies, Romantic Movies"
"s183";"Movie";"Welcome Home Roscoe Jenkins";"Malcolm D. Lee";"United States";"9/1/2021";2008;"PG-13";"114 min";"Comedies"
"s184";"Movie";"In the Line of Fire";"Wolfgang Petersen";"United States";"8/31/2021";1993;"R";"129 min";"Action & Adventure, Classic Movies"
"s186";"Movie";"Untold: Crime & Penalties";"Chapman Way, Maclain Way";"United States";"8/31/2021";2021;"TV-MA";"86 min";"Documentaries, Sports Movies"
"s1957";"Movie";"Zulu Man in Japan";"Not Given";"Pakistan";"9/25/2020";2019;"TV-MA";"44 min";"Documentaries, International Movies, Music & Musicals"
"s1974";"TV Show";"Fukrey Boyzzz";"Not Given";"Pakistan";"9/19/2020";2020;"TV-Y";"1 Season";"Kids' TV, TV Comedies"
"s189";"Movie";"2 Alone in Paris";"Ramzy Bedia, Éric Judor";"France";"8/28/2021";2008;"TV-MA";"97 min";"Comedies, International Movies"
"s2041";"TV Show";"Transformers: Cyberverse";"Not Given";"Pakistan";"9/7/2020";2020;"TV-Y7";"2 Seasons";"Kids' TV"
"s2059";"TV Show";"The Witcher: A Look Inside the Episodes";"Not Given";"Pakistan";"9/2/2020";2020;"TV-MA";"1 Season";"Docuseries, TV Sci-Fi & Fantasy"
"s2124";"TV Show";"Dérè: An African Tale";"Not Given";"Pakistan";"8/15/2020";2016;"TV-PG";"1 Season";"International TV Shows, Romantic TV Shows, TV Dramas"
"s2223";"TV Show";"Street Food: Latin America";"Not Given";"Pakistan";"7/21/2020";2020;"TV-PG";"1 Season";"Docuseries, Spanish-Language TV Shows"
"s2237";"Movie";"Little Singham: Legend of Dugabakka";"Not Given";"Pakistan";"7/15/2020";2020;"TV-Y7";"68 min";"Children & Family Movies, Comedies"
"s2336";"Movie";"Seven (Telugu)";"Not Given";"Pakistan";"6/26/2020";2019;"TV-14";"116 min";"Dramas, International Movies, Romantic Movies"
"s191";"Movie";"Thimmarusu";"Sharan Koppisetty";"India";"8/28/2021";2021;"TV-14";"125 min";"Dramas, International Movies"
